antecedent,consequent,support,confidence,lift
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER,0.0245,0.6943,20.4067
GREEN REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.0245,0.7214,20.4067
PINK REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.0245,0.9039,19.6954
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER,0.0245,0.5348,19.6954
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.029,0.6311,17.8511
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.029,0.8193,17.8511
GREEN REGENCY TEACUP AND SAUCER + PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.0245,0.8474,17.5677
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER + PINK REGENCY TEACUP AND SAUCER,0.0245,0.5088,17.5677
GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.0247,0.5778,16.1983
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.0247,0.6925,16.1983
ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.0272,0.5629,15.9227
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.0272,0.7681,15.9227
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,0.0232,0.6232,15.483
SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX,0.0232,0.5754,15.483
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.034,0.7413,15.3676
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.034,0.7053,15.3676
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.0217,0.475,14.9429
CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,0.0217,0.6834,14.9429
RED RETROSPOT CHARLOTTE BAG,STRAWBERRY CHARLOTTE BAG,0.0203,0.4447,14.1807
STRAWBERRY CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.0203,0.6486,14.1807
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.0295,0.6002,13.357
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.0295,0.6564,13.357
WOODLAND CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.0207,0.5772,12.6194
RED RETROSPOT CHARLOTTE BAG,WOODLAND CHARLOTTE BAG,0.0207,0.4529,12.6194
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE PINK,0.0214,0.4355,12.0831
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED,0.0214,0.5938,12.0831
PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,0.0232,0.635,11.8916
PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0232,0.4337,11.8916
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.0211,0.4622,11.8423
CHARLOTTE BAG SUKI DESIGN,RED RETROSPOT CHARLOTTE BAG,0.0211,0.5416,11.8423
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.0266,0.4936,10.3005
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.0266,0.5556,10.3005
JUMBO BAG WOODLAND ANIMALS,JUMBO STORAGE BAG SUKI,0.0209,0.5192,9.1394
JUMBO STORAGE BAG SUKI,JUMBO BAG WOODLAND ANIMALS,0.0209,0.3674,9.1394
HEART OF WICKER SMALL,HEART OF WICKER LARGE,0.0239,0.4112,9.0007
HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.0239,0.5233,9.0007
JUMBO BAG WOODLAND ANIMALS,JUMBO BAG PINK POLKADOT,0.0201,0.5007,8.5876
LUNCH BAG PINK POLKADOT,LUNCH BAG CARS BLUE,0.0241,0.4669,8.5395
LUNCH BAG CARS BLUE,LUNCH BAG PINK POLKADOT,0.0241,0.4401,8.5395
LUNCH BAG WOODLAND,LUNCH BAG SPACEBOY DESIGN,0.0219,0.4618,8.4537
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND,0.0219,0.4006,8.4537
LUNCH BAG  BLACK SKULL.,LUNCH BAG PINK POLKADOT,0.0256,0.429,8.323
LUNCH BAG PINK POLKADOT,LUNCH BAG  BLACK SKULL.,0.0256,0.4959,8.323
LUNCH BAG APPLE DESIGN,LUNCH BAG SUKI DESIGN,0.0209,0.4284,8.1857
LUNCH BAG SUKI DESIGN,LUNCH BAG APPLE DESIGN,0.0209,0.3988,8.1857
LUNCH BAG WOODLAND,LUNCH BAG CARS BLUE,0.0206,0.4337,7.9317
LUNCH BAG CARS BLUE,LUNCH BAG WOODLAND,0.0206,0.3759,7.9317
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO STORAGE BAG SUKI,0.025,0.4454,7.8401
