antecedent,consequent,support,confidence,lift
SMALL DOLLY MIX DESIGN ORANGE BOWL,SMALL MARSHMALLOWS PINK BOWL,0.0817,0.802,8.8307
SMALL MARSHMALLOWS PINK BOWL,SMALL DOLLY MIX DESIGN ORANGE BOWL,0.0817,0.9,8.8307
FLORAL FOLK STATIONERY SET + SUKI  SHOULDER BAG,ROTATING LEAVES T-LIGHT HOLDER,0.0838,0.8737,8.406
ROTATING LEAVES T-LIGHT HOLDER,FLORAL FOLK STATIONERY SET + SUKI  SHOULDER BAG,0.0838,0.8058,8.406
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.0827,0.9318,8.3948
GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.0827,0.7455,8.3948
SUKI  SHOULDER BAG,FLORAL FOLK STATIONERY SET + SKULL SHOULDER BAG,0.0827,0.7009,8.368
FLORAL FOLK STATIONERY SET + SKULL SHOULDER BAG,SUKI  SHOULDER BAG,0.0827,0.988,8.368
ROTATING LEAVES T-LIGHT HOLDER + SKULL SHOULDER BAG,SUKI  SHOULDER BAG,0.0817,0.9878,8.3668
SUKI  SHOULDER BAG,ROTATING LEAVES T-LIGHT HOLDER + SKULL SHOULDER BAG,0.0817,0.6923,8.3668
FLORAL FOLK STATIONERY SET,MODERN FLORAL STATIONERY SET + SUKI  SHOULDER BAG,0.0827,0.7523,8.2836
MODERN FLORAL STATIONERY SET + SUKI  SHOULDER BAG,FLORAL FOLK STATIONERY SET,0.0827,0.9111,8.2836
SUKI  SHOULDER BAG,JAM MAKING SET PRINTED + ROTATING LEAVES T-LIGHT HOLDER,0.0817,0.6923,8.266
JAM MAKING SET PRINTED + ROTATING LEAVES T-LIGHT HOLDER,SUKI  SHOULDER BAG,0.0817,0.9759,8.266
JAM MAKING SET PRINTED + SKULL SHOULDER BAG,SUKI  SHOULDER BAG,0.0838,0.9651,8.1746
SUKI  SHOULDER BAG,JAM MAKING SET PRINTED + SKULL SHOULDER BAG,0.0838,0.7094,8.1746
SUKI  SHOULDER BAG,FLORAL FOLK STATIONERY SET + ROTATING LEAVES T-LIGHT HOLDER,0.0838,0.7094,8.1746
FLORAL FOLK STATIONERY SET + ROTATING LEAVES T-LIGHT HOLDER,SUKI  SHOULDER BAG,0.0838,0.9651,8.1746
ROTATING LEAVES T-LIGHT HOLDER + SUKI  SHOULDER BAG,FLORAL FOLK STATIONERY SET,0.0838,0.8925,8.1141
FLORAL FOLK STATIONERY SET,ROTATING LEAVES T-LIGHT HOLDER + SUKI  SHOULDER BAG,0.0838,0.7615,8.1141
