itemset,size,support
WHITE HANGING HEART T-LIGHT HOLDER,1,0.1111
JUMBO BAG RED RETROSPOT,1,0.0978
REGENCY CAKESTAND 3 TIER,1,0.0938
PARTY BUNTING,1,0.0827
ASSORTED COLOUR BIRD ORNAMENT,1,0.0732
LUNCH BAG RED RETROSPOT,1,0.073
SET OF 3 CAKE TINS PANTRY DESIGN,1,0.0662
NATURAL SLATE HEART CHALKBOARD,1,0.0603
LUNCH BAG  BLACK SKULL.,1,0.0596
JUMBO BAG PINK POLKADOT,1,0.0583
HEART OF WICKER SMALL,1,0.0581
PACK OF 72 RETROSPOT CAKE CASES,1,0.058
JUMBO STORAGE BAG SUKI,1,0.0568
JUMBO SHOPPER VINTAGE RED PAISLEY,1,0.0561
SPOTTY BUNTING,1,0.0559
LUNCH BAG CARS BLUE,1,0.0547
LUNCH BAG SPACEBOY DESIGN,1,0.0546
WOODEN PICTURE FRAME WHITE FINISH,1,0.0539
PAPER CHAIN KIT 50'S CHRISTMAS,1,0.0534
LUNCH BAG SUKI DESIGN,1,0.0523
JAM MAKING SET PRINTED,1,0.0519
LUNCH BAG PINK POLKADOT,1,0.0515
RECIPE BOX PANTRY YELLOW DESIGN,1,0.0513
JAM MAKING SET WITH JARS,1,0.0507
SET OF 4 PANTRY JELLY MOULDS,1,0.0505
VICTORIAN GLASS HANGING T-LIGHT,1,0.0496
ALARM CLOCK BAKELIKE RED,1,0.0491
LUNCH BAG APPLE DESIGN,1,0.0487
ROSES REGENCY TEACUP AND SAUCER,1,0.0482
WOODEN FRAME ANTIQUE WHITE,1,0.0479
LUNCH BAG WOODLAND,1,0.0474
RABBIT NIGHT LIGHT,1,0.0472
RETROSPOT TEA SET CERAMIC 11 PC,1,0.0465
SET/20 RED RETROSPOT PAPER NAPKINS,1,0.046
GREEN REGENCY TEACUP AND SAUCER,1,0.0459
REX CASH+CARRY JUMBO SHOPPER,1,0.0459
JUMBO BAG APPLES,1,0.0458
HEART OF WICKER LARGE,1,0.0457
RED RETROSPOT CHARLOTTE BAG,1,0.0457
BAKING SET 9 PIECE RETROSPOT,1,0.0451
ALARM CLOCK BAKELIKE GREEN,1,0.0449
JUMBO  BAG BAROQUE BLACK WHITE,1,0.0447
6 RIBBONS RUSTIC CHARM,1,0.0441
GARDENERS KNEELING PAD KEEP CALM,1,0.0428
JUMBO BAG ALPHABET,1,0.0427
JUMBO BAG VINTAGE LEAF,1,0.0419
SET/5 RED RETROSPOT LID GLASS BOWLS,1,0.0415
VINTAGE SNAP CARDS,1,0.0415
PLEASE ONE PERSON METAL SIGN,1,0.0406
CHOCOLATE HOT WATER BOTTLE,1,0.0404
SPACEBOY LUNCH BOX,1,0.0403
JUMBO BAG WOODLAND ANIMALS,1,0.0402
JUMBO BAG PINK VINTAGE PAISLEY,1,0.04
SET OF 6 SPICE TINS PANTRY DESIGN,1,0.0398
SET OF 3 REGENCY CAKE TINS,1,0.0398
CHARLOTTE BAG SUKI DESIGN,1,0.039
"JUMBO BAG PINK POLKADOT, JUMBO BAG RED RETROSPOT",2,0.0386
PACK OF 60 PINK PAISLEY CAKE CASES,1,0.0381
HOME BUILDING BLOCK WORD,1,0.0379
PAPER BUNTING RETROSPOT,1,0.0379
RED TOADSTOOL LED NIGHT LIGHT,1,0.0376
HOT WATER BOTTLE KEEP CALM,1,0.0375
DOLLY GIRL LUNCH BOX,1,0.0372
JUMBO BAG STRAWBERRY,1,0.0372
60 TEATIME FAIRY CAKE CASES,1,0.0366
PAPER CHAIN KIT VINTAGE CHRISTMAS,1,0.0365
POPCORN HOLDER,1,0.0365
SCOTTIE DOG HOT WATER BOTTLE,1,0.0362
RED HANGING HEART T-LIGHT HOLDER,1,0.0362
ALARM CLOCK BAKELIKE PINK,1,0.036
WOODLAND CHARLOTTE BAG,1,0.0359
GIN + TONIC DIET METAL SIGN,1,0.0358
GARDENERS KNEELING PAD CUP OF TEA,1,0.0357
DOORMAT KEEP CALM AND COME IN,1,0.0354
PINK REGENCY TEACUP AND SAUCER,1,0.0354
LUNCH BAG ALPHABET DESIGN,1,0.0352
HANGING HEART JAR T-LIGHT HOLDER,1,0.0344
CLOTHES PEGS RETROSPOT PACK 24,1,0.0342
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",2,0.034
COOK WITH WINE METAL SIGN,1,0.034
RECYCLING BAG RETROSPOT,1,0.0338
IVORY KITCHEN SCALES,1,0.0338
"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI",2,0.0337
STRAWBERRY CERAMIC TRINKET BOX,1,0.0334
JUMBO BAG VINTAGE DOILY,1,0.0333
JUMBO BAG 50'S CHRISTMAS,1,0.0331
JUMBO STORAGE BAG SKULLS,1,0.0331
ROUND SNACK BOXES SET OF4 WOODLAND,1,0.0329
WOOD BLACK BOARD ANT WHITE FINISH,1,0.0327
JUMBO BAG SPACEBOY DESIGN,1,0.0326
ANTIQUE SILVER T-LIGHT GLASS,1,0.0325
HAND OVER THE CHOCOLATE   SIGN,1,0.0323
CHARLOTTE BAG PINK POLKADOT,1,0.0318
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,1,0.0317
LUNCH BAG DOLLY GIRL DESIGN,1,0.0317
"JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",2,0.0316
LUNCH BOX I LOVE LONDON,1,0.0316
