itemset,size,support
JUMBO BAG RED RETROSPOT,1,0.2553
PACK OF 72 RETROSPOT CAKE CASES,1,0.2331
REGENCY CAKESTAND 3 TIER,1,0.2281
LUNCH BAG RED RETROSPOT,1,0.1948
JAM MAKING SET PRINTED,1,0.1897
JAM MAKING SET WITH JARS,1,0.1806
RED RETROSPOT CHARLOTTE BAG,1,0.1746
WHITE HANGING HEART T-LIGHT HOLDER,1,0.1705
ROSES REGENCY TEACUP AND SAUCER,1,0.1604
WOODLAND CHARLOTTE BAG,1,0.1604
PAPER CHAIN KIT 50'S CHRISTMAS,1,0.1584
LUNCH BAG  BLACK SKULL.,1,0.1554
PACK OF 60 PINK PAISLEY CAKE CASES,1,0.1544
DOLLY GIRL LUNCH BOX,1,0.1534
GREEN REGENCY TEACUP AND SAUCER,1,0.1524
CHARLOTTE BAG SUKI DESIGN,1,0.1504
RECIPE BOX PANTRY YELLOW DESIGN,1,0.1493
VINTAGE SNAP CARDS,1,0.1473
CHARLOTTE BAG PINK POLKADOT,1,0.1463
SPACEBOY LUNCH BOX,1,0.1453
RED TOADSTOOL LED NIGHT LIGHT,1,0.1443
SET OF 3 CAKE TINS PANTRY DESIGN,1,0.1423
60 TEATIME FAIRY CAKE CASES,1,0.1413
ALARM CLOCK BAKELIKE GREEN,1,0.1372
PAPER CHAIN KIT VINTAGE CHRISTMAS,1,0.1362
STRAWBERRY CHARLOTTE BAG,1,0.1342
PARTY BUNTING,1,0.1332
LUNCH BAG SPACEBOY DESIGN,1,0.1322
CLOTHES PEGS RETROSPOT PACK 24,1,0.1302
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",2,0.1292
ALARM CLOCK BAKELIKE RED,1,0.1292
LUNCH BAG WOODLAND,1,0.1282
60 CAKE CASES VINTAGE CHRISTMAS,1,0.1282
SET OF 3 REGENCY CAKE TINS,1,0.1271
6 RIBBONS RUSTIC CHARM,1,0.1271
SET OF 4 PANTRY JELLY MOULDS,1,0.1261
SPACEBOY BIRTHDAY CARD,1,0.1241
JUMBO BAG STRAWBERRY,1,0.1241
LUNCH BAG CARS BLUE,1,0.1241
JUMBO BAG PINK POLKADOT,1,0.1241
LUNCH BAG PINK POLKADOT,1,0.1231
JUMBO SHOPPER VINTAGE RED PAISLEY,1,0.1231
RED  HARMONICA IN BOX,1,0.1231
SET/20 RED RETROSPOT PAPER NAPKINS,1,0.1231
LUNCH BAG APPLE DESIGN,1,0.1221
BOX OF 24 COCKTAIL PARASOLS,1,0.1211
PLASTERS IN TIN WOODLAND ANIMALS,1,0.1201
SKULL SHOULDER BAG,1,0.1191
POPCORN HOLDER,1,0.1181
JUMBO BAG APPLES,1,0.1181
"PAPER CHAIN KIT 50'S CHRISTMAS, PAPER CHAIN KIT VINTAGE CHRISTMAS",2,0.1181
JUMBO STORAGE BAG SUKI,1,0.1181
SUKI  SHOULDER BAG,1,0.1181
"PACK OF 72 RETROSPOT CAKE CASES, REGENCY CAKESTAND 3 TIER",2,0.1171
"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",2,0.1171
PLASTERS IN TIN SPACEBOY,1,0.1171
NATURAL SLATE HEART CHALKBOARD,1,0.1171
ROUND SNACK BOXES SET OF4 WOODLAND,1,0.116
SET OF 60 PANTRY DESIGN CAKE CASES,1,0.116
"JAM MAKING SET PRINTED, JAM MAKING SET WITH JARS",2,0.116
LUNCH BOX I LOVE LONDON,1,0.115
JUMBO BAG PINK VINTAGE PAISLEY,1,0.115
"CHARLOTTE BAG PINK POLKADOT, RED RETROSPOT CHARLOTTE BAG",2,0.115
RECYCLING BAG RETROSPOT,1,0.115
PACK OF 12 LONDON TISSUES,1,0.114
WORLD WAR 2 GLIDERS ASSTD DESIGNS,1,0.113
GINGERBREAD MAN COOKIE CUTTER,1,0.112
VINTAGE HEADS AND TAILS CARD GAME,1,0.112
"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG",2,0.111
60 CAKE CASES DOLLY GIRL DESIGN,1,0.111
"PACK OF 72 RETROSPOT CAKE CASES, RED RETROSPOT CHARLOTTE BAG",2,0.111
GARDENERS KNEELING PAD KEEP CALM,1,0.111
SET OF 3 HEART COOKIE CUTTERS,1,0.111
HEART OF WICKER SMALL,1,0.11
FLORAL FOLK STATIONERY SET,1,0.11
ROTATING SILVER ANGELS T-LIGHT HLDR,1,0.109
"CHARLOTTE BAG SUKI DESIGN, WOODLAND CHARLOTTE BAG",2,0.109
JUMBO BAG WOODLAND ANIMALS,1,0.109
"60 TEATIME FAIRY CAKE CASES, PACK OF 72 RETROSPOT CAKE CASES",2,0.109
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",2,0.109
HOT WATER BOTTLE I AM SO POORLY,1,0.109
"PACK OF 60 PINK PAISLEY CAKE CASES, PACK OF 72 RETROSPOT CAKE CASES",2,0.108
"PACK OF 72 RETROSPOT CAKE CASES, WOODLAND CHARLOTTE BAG",2,0.108
"CHARLOTTE BAG PINK POLKADOT, CHARLOTTE BAG SUKI DESIGN",2,0.108
RABBIT NIGHT LIGHT,1,0.108
MODERN FLORAL STATIONERY SET,1,0.108
ALARM CLOCK BAKELIKE PINK,1,0.107
CHILLI LIGHTS,1,0.107
VICTORIAN GLASS HANGING T-LIGHT,1,0.107
PACK OF 12 TRADITIONAL CRAYONS,1,0.106
"JUMBO BAG RED RETROSPOT, LUNCH BAG RED RETROSPOT",2,0.106
SET OF 20 KIDS COOKIE CUTTERS,1,0.106
BLUE HARMONICA IN BOX,1,0.106
JUMBO BAG ALPHABET,1,0.1049
"CHARLOTTE BAG PINK POLKADOT, WOODLAND CHARLOTTE BAG",2,0.1049
"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG",2,0.1049
"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",2,0.1039
"DOLLY GIRL LUNCH BOX, SPACEBOY LUNCH BOX",2,0.1039
DOORMAT RED RETROSPOT,1,0.1039
SET OF 3 BUTTERFLY COOKIE CUTTERS,1,0.1039
SET OF 20 VINTAGE CHRISTMAS NAPKINS,1,0.1039
ROTATING LEAVES T-LIGHT HOLDER,1,0.1039
"STRAWBERRY CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",2,0.1039
PACK OF 12 SUKI TISSUES,1,0.1029
"REGENCY CAKESTAND 3 TIER, WOODLAND CHARLOTTE BAG",2,0.1019
LUNCH BAG SUKI DESIGN,1,0.1019
SMALL DOLLY MIX DESIGN ORANGE BOWL,1,0.1019
PINK REGENCY TEACUP AND SAUCER,1,0.1019
PACK OF 60 SPACEBOY CAKE CASES,1,0.1019
"JUMBO BAG RED RETROSPOT, RED RETROSPOT CHARLOTTE BAG",2,0.1019
"JAM MAKING SET PRINTED, RECIPE BOX PANTRY YELLOW DESIGN",2,0.1009
"CHARLOTTE BAG PINK POLKADOT, PACK OF 72 RETROSPOT CAKE CASES",2,0.1009
"LUNCH BAG RED RETROSPOT, PACK OF 72 RETROSPOT CAKE CASES",2,0.1009
CHOCOLATE HOT WATER BOTTLE,1,0.1009
"JUMBO BAG PINK POLKADOT, JUMBO BAG RED RETROSPOT",2,0.1009
"JAM MAKING SET PRINTED, PACK OF 72 RETROSPOT CAKE CASES",2,0.0999
PACK OF 72 SKULL CAKE CASES,1,0.0999
"LUNCH BAG RED RETROSPOT, RED RETROSPOT CHARLOTTE BAG",2,0.0999
WALL TIDY RETROSPOT,1,0.0999
SET/5 RED RETROSPOT LID GLASS BOWLS,1,0.0999
"JAM MAKING SET PRINTED, JUMBO BAG RED RETROSPOT",2,0.0999
PINK BLUE FELT CRAFT TRINKET BOX,1,0.0999
72 SWEETHEART FAIRY CAKE CASES,1,0.0989
"SKULL SHOULDER BAG, SUKI  SHOULDER BAG",2,0.0989
SET OF 12 FAIRY CAKE BAKING CASES,1,0.0989
PAPER CHAIN KIT RETROSPOT,1,0.0989
GUMBALL COAT RACK,1,0.0989
RIBBON REEL CHRISTMAS SOCK BAUBLE,1,0.0979
"LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT",2,0.0979
"JAM MAKING SET PRINTED, SUKI  SHOULDER BAG",2,0.0979
"JUMBO BAG RED RETROSPOT, JUMBO BAG STRAWBERRY",2,0.0979
CARD SUKI BIRTHDAY,1,0.0969
CHRISTMAS CRAFT LITTLE FRIENDS,1,0.0969
4 TRADITIONAL SPINNING TOPS,1,0.0969
WOODEN BOX OF DOMINOES,1,0.0969
PHOTO CUBE,1,0.0969
RED RETROSPOT OVEN GLOVE,1,0.0969
AIRLINE BAG VINTAGE TOKYO 78,1,0.0959
